commune_id,wilaya_code,name,name_ar
1,1,Adrar,أدرار
2,1,Akabli,اقبلي
3,1,Aoulef,أولف
4,1,Bouda,بودة
5,1,Fenoughil,فنوغيل
6,1,In Zghmir,إن زغمير
7,1,Ouled Ahmed Timmi,أولاد أحمد تيمي
8,1,Reggane,رقان
9,1,Sali,سالي
10,1,Sebaa,السبع
11,1,Tamantit,تامنطيط
12,1,Tamest,تامست
13,1,Timekten,تيمقتن
14,1,Tit,تيت
15,1,Tsabit,تسابيت
16,1,Zaouiet Kounta,زاوية كنتة
17,2,Abou El Hassane,أبو الحسن
18,2,Ain Merane,عين مران
19,2,Benairia,بنايرية
20,2,Beni Bouattab,بني بوعتاب
21,2,Beni Haoua,بني حواء
22,2,Beni Rached,بني راشد
23,2,Boukadir,بوقادير
24,2,Bouzeghaia,بوزغاية
25,2,Breira,بريرة
26,2,Chettia,الشطية
27,2,Chlef,الشلف
28,2,Dahra,الظهرة
29,2,El Hadjadj,الحجاج
30,2,El Karimia,الكريمية
31,2,El Marsa,المرسى
32,2,Harchoun,حرشون
33,2,Herenfa,الهرانفة
34,2,Labiod Medjadja,الأبيض مجاجة
35,2,Moussadek,مصدق
36,2,Oued Fodda,وادي الفضة
37,2,Oued Goussine,وادي قوسين
38,2,Oued Sly,وادي سلي
39,2,Ouled Abbes,أولاد عباس
40,2,Ouled Ben Abdelkader,أولاد بن عبد القادر
41,2,Ouled Fares,أولاد فارس
42,2,Oum Drou,أم الدروع
43,2,Sendjas,سنجاس
44,2,Sidi Abderrahmane,سيدي عبد الرحمن
45,2,Sidi Akkacha,سيدي عكاشة
46,2,Sobha,الصبحة
47,2,Tadjena,تاجنة
48,2,Talassa,تلعصة
49,2,Taougrit,تاوقريت
50,2,Tenes,تنس
51,2,Zeboudja,الزبوجة
52,3,Aflou,أفلو
53,3,Ain Madhi,عين ماضي
54,3,Ain Sidi Ali,عين سيدي علي
55,3,Benacer Benchohra,بن ناصر بن شهرة
56,3,Brida,بريدة
57,3,El Assafia,العسافية
58,3,El Beidha,البيضاء
59,3,El Ghicha,الغيشة
60,3,El Haouaita,الحويطة
61,3,Gueltat Sidi Saad,قلتة سيدي سعد
62,3,Hadj Mechri,الحاج مشري
63,3,Hassi Delaa,حاسي الدلاعة
64,3,Hassi R'Mel,حاسي الرمل
65,3,Kheneg,الخنق
66,3,Ksar El Hirane,قصر الحيران
67,3,Laghouat,الأغواط
68,3,Oued M'Zi,وادي مزي
69,3,Oued Morra,وادي مرة
70,3,Sebgag,سبقاق
71,3,Sidi Bouzid,سيدي بوزيد
72,3,Sidi Makhlouf,سيدي مخلوف
73,3,Tadjemout,تاجموت
74,3,Tadjrouna,تاجرونة
75,3,Taouiala,تاويالة
76,4,Ain Babouche,عين ببوش
77,4,Ain Beida,عين البيضاء
78,4,Ain Diss,عين الديس
79,4,Ain Fekroun,عين فكرون
80,4,Ain Kercha,عين كرشة
81,4,Ain Zitoun,عين الزيتون
82,4,Aïn M'lila,عين مليلة
83,4,Behir Chergui,بحير الشرقي
84,4,Berriche,بريش
85,4,Bir Chouhada,بئر الشهداء
86,4,Dhalaa,الضلعة
87,4,El Amiria,العامرية
88,4,El Belala,البلالة
89,4,El Djazia,الجازية
90,4,El Fedjoudj Boughrara Sa,الفجوج بوغرارة سعودي
91,4,El Harmilia,الحرملية
92,4,Fkirina,فكيرينة
93,4,Hanchir Toumghani,هنشير تومغني
94,4,Ksar Sbahi,قصر الصباحي
95,4,Meskiana,مسكيانة
96,4,Oued Nini,وادي نيني
97,4,Ouled Gacem,أولاد قاسم
98,4,Ouled Hamla,أولاد حملة
99,4,Ouled Zouai,أولاد زواي
100,4,Oum El Bouaghi,أم البواقي
101,4,Rahia,الرحية
102,4,Sigus,سيقوس
103,4,Souk Naamane,سوق نعمان
104,4,Zorg,الزرق
105,5,Ain Djasser,عين جاسر
106,5,Ain Touta,عين التوتة
107,5,Ain Yagout,عين ياقوت
108,5,Arris,أريس
