code,name,name_ar,name_ascii,commune_count
1,Adrar,أدرار,Adrar,16
2,Chlef,الشلف,Chlef,35
3,Laghouat,الأغواط,Laghouat,24
4,Oum El Bouaghi,أم البواقي,Oum El Bouaghi,29
5,Batna,باتنة,Batna,61
6,Béjaïa,بجاية,Bejaia,52
7,Biskra,بسكرة,Biskra,27
8,Béchar,بشار,Bechar,11
9,Blida,البليدة,Blida,25
10,Bouira,البويرة,Bouira,45
11,Tamanrasset,تمنراست,Tamanrasset,5
12,Tébessa,تبسة,Tebessa,28
13,Tlemcen,تلمسان,Tlemcen,53
14,Tiaret,تيارت,Tiaret,42
15,Tizi Ouzou,تيزي وزو,Tizi Ouzou,67
16,Alger,الجزائر,Alger,57
17,Djelfa,الجلفة,Djelfa,36
18,Jijel,جيجل,Jijel,28
19,Sétif,سطيف,Setif,60
20,Saïda,سعيدة,Saida,16
21,Skikda,سكيكدة,Skikda,38
22,Sidi Bel Abbès,سيدي بلعباس,Sidi Bel Abbes,52
23,Annaba,عنابة,Annaba,12
24,Guelma,قالمة,Guelma,34
25,Constantine,قسنطينة,Constantine,12
26,Médéa,المدية,Medea,64
27,Mostaganem,مستغانم,Mostaganem,32
28,M'Sila,المسيلة,M'Sila,47
29,Mascara,معسكر,Mascara,47
30,Ouargla,ورقلة,Ouargla,8
31,Oran,وهران,Oran,26
32,El Bayadh,البيض,El Bayadh,22
33,Illizi,إليزي,Illizi,4
34,Bordj Bou Arréridj,برج بوعريريج,Bordj Bou Arreridj,34
35,Boumerdès,بومرداس,Boumerdes,32
36,El Tarf,الطارف,El Tarf,24
37,Tindouf,تندوف,Tindouf,2
38,Tissemsilt,تيسمسيلت,Tissemsilt,22
39,El Oued,الوادي,El Oued,22
40,Khenchela,خنشلة,Khenchela,21
41,Souk Ahras,سوق أهراس,Souk Ahras,26
42,Tipaza,تيبازة,Tipaza,28
43,Mila,ميلة,Mila,32
44,Aïn Defla,عين الدفلى,Ain Defla,36
45,Naâma,النعامة,Naama,12
46,Aïn Témouchent,عين تموشنت,Ain Temouchent,28
47,Ghardaïa,غرداية,Ghardaia,10
48,Relizane,غليزان,Relizane,38
49,Timimoun,تيميمون,Timimoun,10
50,Bordj Badji Mokhtar,برج باجي مختار,Bordj Badji Mokhtar,2
51,Ouled Djellal,أولاد جلال,Ouled Djellal,6
52,Béni Abbès,بني عباس,Beni Abbes,10
53,In Salah,عين صالح,In Salah,3
54,In Guezzam,عين قزام,In Guezzam,2
55,Touggourt,تقرت,Touggourt,13
56,Djanet,جانت,Djanet,2
57,El M'Ghair,المغير,El M'Ghair,8
58,El Meniaa,المنيعة,El Meniaa,3
