source_dataset,source_product_id,family_key,subtype_key,source_title,source_description,source_bullet_points,source_brand,source_color,source_image_urls_json,useful_judgments,useful_queries
abo,B07XCVXGPG,accessories,drill-bits,"Umi. by Amazon- Drill Bit Set, 55-Piece Drill Bits and Driver Set for Wood, Metal, Cement Drilling and Screw Driving, Storage Case Included","This drill bits set contains many power tool accessories, such as drill bits for cement, flat wood drill bits, screwdriver bits and so on.","【WIDE APPLICATION】It is perfect for DIY, household maintenance and repair. High quality drill bits and accessories are ideal for wood, metal, cement drilling as well as multiple driving applications.",UMI,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/7e/7e0b9084.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/d1/d119078d.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/67/6732a263.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/1a/1a657c1f.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/8b/8b71d0c3.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/7f/7fb3d587.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/44/44c82c45.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/0e/0ed6730e.jpg""]",0,drill bits | Products > drill bits
abo,B07XBRRJ3H,accessories,saw-blades,"Umi. by Amazon-10-Piece Reciprocating Saw Blades Set, Sabre Saw Blades with Organizer Pouch for Metal, Wood and Wood with Nails, BIM/HCS, Compatible with DEWALT, Bosch, Black & Decker, Makita",This reciprocating saw blades are made of excellent material for wood and metal cutting. They are organized and easy to access with a curling storage pouch.,【EXCELLENT MATERIAL】The teeth of saw blades are made of M2 HSS(high speed steels)，which ensures long lifetime on cutting wood and metal.,UMI,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/ac/ac193ac7.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/fb/fb1280ce.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/9a/9aec5914.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/2b/2b4ffd2e.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/0d/0d86f93b.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/53/533ed00c.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/d9/d956d3a2.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/56/5699fc72.jpg""]",0,saw blade | Products > saw blade
abo,B07XFNWL9H,accessories,drill-bits,"Umi. by Amazon- 17 Pieces SDS-Plus Rotary Hammer Drill and Chisel Bits Set, Impact Drill bits and Chisel bits for Concrete and Brick, Storage Case Included",This rotary hammer drill bits and Chisel bits are made of high quality material which ensures long lifetime. The storage box is very portable and the drill bits can be stored well.,"【U-SHAPED FLUTE DESIGN】Each drill bit features an U-shaped flute design to enable rapid removal of debris, keep the bit running smoothly and make it run cooler.",UMI,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/7f/7f931628.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/0c/0cff9971.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/f4/f4d6e242.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/a6/a652cf81.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/97/9777240d.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/f7/f7ad69d5.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/65/6525f7e8.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/3f/3fcfce54.jpg""]",0,drill bits | Products > drill bits
abo,B07X8NDR5T,accessories,abrasives,"Umi. by Amazon- Cut Off Wheels, 20 Packs Metal & Stainless Steel Cutting Discs, 115mm x 1.2mm x 22mm, for Angle Grinders",These cut off wheels are: 4-1/2 inch (115mm)x7/8 inch (22mm)x3/64 inch (1.2mm). The thickness of it provides precise and efficient work. All of them are made of high quality material which ensures long lifetime.,【DURABLE MATERIAL】 These cut off wheels are made of corundum grain and reinforced by double fiberglass mesh. They provide aggressive cutting action with safety and longer service life.,UMI,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/6f/6f0eeb1a.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/b6/b6bb368d.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/bb/bb37094a.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/03/03749d57.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/cc/ccd9b01b.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/e8/e8addfbb.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/04/04580731.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/28/2862782a.jpg""]",0,tools | Abrasive & Finishing Products > tools
abo,B08DKDN4KG,accessories,abrasives,"Umi. Dewalt Jigsaw Blade, Jigsaw Blade, Tip, Tool Set, 20 Pieces, For Carpentry, Ironwork, Stainless Steel, For Cutting Hitachi, Bosch Makita, Black and Decker",【套装内容】超值的拼图刀片20支套装。 T-119BO*4根(12TPI)、T119B*4根(12TPI)、T111C*4根(8TPI)、T218A(21TPI)*2根、T118G*2根(23TPI)、T118A(21TPI)*2根、T118B(12TPI)*2根、收纳盒*1书,【套装内容】超值的拼图刀片20支套装。 T-119BO*4根(12TPI)、T119B*4根(12TPI)、T111C*4根(8TPI)、T218A(21TPI)*2根、T118G*2根(23TPI)、T118A(21TPI)*2根、T118B(12TPI)*2根、收纳盒*1书本,Umi.(ウミ),"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/ef/efcab2ee.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/6a/6a8aa06f.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/dd/dd31e4a1.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/f9/f93a050a.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/dd/dd2c7c5a.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/ef/efb1dc7e.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/b0/b0c9c584.jpg""]",0,home | カテゴリー別 > home
abo,B07SCD84GW,accessories,drill-bits,"AmazonBasics High Speed Steel Drill Bit Set - M35 HSS Co5%, 29-Piece",An Amazon Brand,"29 drill bits for cutting through hard metal, like stainless steel, aluminum alloy, and titanium alloy",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/80/801ec747.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/eb/eb847318.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/a5/a53776ee.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/e0/e0ce4d1e.jpg""]",0,"drill bits | Power, Garden & Hand Tools > drill bits"
abo,B07S751RCQ,accessories,power-tool-accessories,AmazonBasics Screwdriver Bit Set - 48-piece,An Amazon Brand,"48-piece screwdriver bit set; ideal for use on electronic devices, home appliances, furniture, and more",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/7b/7b393624.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/b8/b8acd609.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/82/82a6269a.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/90/905aeeb4.jpg""]",0,"drill bits | Power, Garden & Hand Tools > drill bits"
abo,B084SSQP3L,accessories,power-tool-accessories,AmazonBasics 51-Piece Precision Screwdriver Bit Set (Renewed),"",Juego de puntas de destornillador de precisión de 51 piezas para apretar o aflojar fácilmente los tornillos; incluye una amplia variedad de brocas especiales.,AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/b9/b9438d67.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/80/8049a105.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/a5/a55fc2b5.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/dd/dd75acd1.jpg""]",0,screwdriver | Power & Hand Tools > screwdriver
abo,B08G9ZL8DY,accessories,power-tool-accessories,AmazonBasics Forstner Bit Set - 14-Piece (Renewed),"","14-piece forstner bit set includes the following bits: 1/4-inch, 3/8-inch, 5/8-inch, 7/8-inch, 1-1/8-inch, 1-3/8-inch, 1-5/8-inch, 1/4-inch, 1/2-inch, 3/4-inch, 1-inch, 1-1/4-inch, 1-1/2-inch, and 2-inch",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/1d/1dae46d8.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/1c/1c7a22d8.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/c3/c3d3c441.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/a6/a6c0a318.jpg""]",0,drill bits | Power & Hand Tools > drill bits
abo,B087ZH18GL,accessories,drill-bits,"AmazonBasics Titanium Drill Bit Set - 29-Piece, M35 High Speed Steel HSS, for Steel, Alloy and Other Hard Metals (Renewed)","","29 drill bits for cutting through hard metal, like stainless steel, aluminum alloy, and titanium alloy",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/65/651f1aca.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/25/250e9bbb.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/ff/ff9ebb9b.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/28/28aa3138.jpg""]",0,drill bits | Power & Hand Tools > drill bits
